,sample,test_size,alpha,actual_prop,pred_prop,abs_error,accuracy,quantifier,f-measure,best_threshold
338,4,10,0.15,0.1,0.0,0.1,0.9,SORD,,0.5
339,4,10,0.15,0.1,0.01,0.09,0.9,SMM,,0.5
340,5,10,0.15,0.1,0.1,0.0,1.0,CC,1.0,0.5
341,5,10,0.15,0.1,0.0,0.1,0.9,ACC,,0.88
342,5,10,0.15,0.1,0.0,0.1,0.9,X,,0.88
343,5,10,0.15,0.1,0.0,0.1,0.9,MAX,,0.88
344,5,10,0.15,0.1,0.0,0.1,0.9,T50,,0.88
345,5,10,0.15,0.1,0.0,0.1,0.9,MS,,0.88
346,5,10,0.15,0.1,0.01,0.09,0.9,HDy,,0.88
347,5,10,0.15,0.1,0.01,0.09,0.9,DyS,,0.88
348,5,10,0.15,0.1,0.0,0.1,0.9,SORD,,0.88
349,5,10,0.15,0.1,0.08,0.02,1.0,SMM,1.0,0.5
350,6,10,0.15,0.1,0.0,0.1,0.9,CC,,0.5
351,6,10,0.15,0.1,0.0,0.1,0.9,ACC,,0.5
352,6,10,0.15,0.1,0.0,0.1,0.9,X,,0.5
353,6,10,0.15,0.1,0.0,0.1,0.9,MAX,,0.5
354,6,10,0.15,0.1,0.0,0.1,0.9,T50,,0.5
355,6,10,0.15,0.1,0.0,0.1,0.9,MS,,0.5
356,6,10,0.15,0.1,0.01,0.09,0.9,HDy,,0.5
357,6,10,0.15,0.1,0.01,0.09,0.9,DyS,,0.5
358,6,10,0.15,0.1,0.0,0.1,0.9,SORD,,0.5
359,6,10,0.15,0.1,0.0,0.1,0.9,SMM,,0.5
360,7,10,0.15,0.1,0.3,0.2,0.8,CC,0.5,0.5
361,7,10,0.15,0.1,0.25,0.15,0.8,ACC,0.5,0.5
362,7,10,0.15,0.1,0.24,0.14,0.9,X,0.67,0.75
363,7,10,0.15,0.1,0.24,0.14,0.9,MAX,0.67,0.75
364,7,10,0.15,0.1,0.21,0.11,0.9,T50,0.67,0.75
365,7,10,0.15,0.1,0.24,0.14,0.9,MS,0.67,0.75
366,7,10,0.15,0.1,0.2,0.1,0.9,HDy,0.67,0.75
367,7,10,0.15,0.1,0.24,0.14,0.9,DyS,0.67,0.75
368,7,10,0.15,0.1,0.0,0.1,0.9,SORD,,0.99
369,7,10,0.15,0.1,0.29,0.19,0.8,SMM,0.5,0.5
370,8,10,0.15,0.1,0.2,0.1,0.9,CC,0.67,0.5
371,8,10,0.15,0.1,0.12,0.02,0.8,ACC,,0.88
372,8,10,0.15,0.1,0.11,0.01,0.8,X,,0.88
373,8,10,0.15,0.1,0.11,0.01,0.8,MAX,,0.88
374,8,10,0.15,0.1,0.0,0.1,0.9,T50,,0.94
375,8,10,0.15,0.1,0.15,0.05,0.8,MS,,0.88
376,8,10,0.15,0.1,0.03,0.07,0.9,HDy,,0.94
377,8,10,0.15,0.1,0.03,0.07,0.9,DyS,,0.94
378,8,10,0.15,0.1,0.0,0.1,0.9,SORD,,0.94
379,8,10,0.15,0.1,0.22,0.12,0.9,SMM,0.67,0.5
380,9,10,0.15,0.1,0.1,0.0,0.8,CC,,0.5
381,9,10,0.15,0.1,0.0,0.1,0.9,ACC,,0.94
382,9,10,0.15,0.1,0.37,0.27,0.7,X,0.4,0.25
383,9,10,0.15,0.1,0.37,0.27,0.7,MAX,0.4,0.25
384,9,10,0.15,0.1,0.0,0.1,0.9,T50,,0.94
385,9,10,0.15,0.1,0.11,0.01,0.8,MS,,0.5
386,9,10,0.15,0.1,0.06,0.04,0.8,HDy,,0.5
387,9,10,0.15,0.1,0.04,0.06,0.9,DyS,,0.94
388,9,10,0.15,0.1,0.0,0.1,0.9,SORD,,0.94
389,9,10,0.15,0.1,0.22,0.12,0.7,SMM,,0.47
